feature,importance
alpha014__lag_45,0.0
alpha013__lag_45,0.0
alpha012__lag_08,0.0
alpha011__lag_45,0.0
alpha010__lag_45,0.0
alpha009__lag_45,0.0
alpha006__lag_45,0.0
alpha005__lag_45,0.0
alpha004__lag_45,0.0
alpha003__lag_45,0.0
alpha002__lag_45,0.0
alpha011__lag_08,0.0
alpha018__lag_46,0.0
alpha014__lag_46,0.0
alpha013__lag_46,0.0
alpha012__lag_46,0.0
alpha010__lag_08,0.0
alpha009__lag_08,0.0
alpha006__lag_08,0.0
alpha005__lag_08,0.0
alpha006__lag_46,0.0
alpha033__lag_09,0.0
alpha003__lag_46,0.0
alpha002__lag_46,0.0
alpha101__lag_45,0.0
alpha022__lag_09,0.0
alpha041__lag_45,0.0
alpha040__lag_45,0.0
alpha018__lag_09,0.0
alpha013__lag_09,0.0
alpha009__lag_47,0.0
alpha007__lag_47,0.0
alpha006__lag_47,0.0
alpha010__lag_09,0.0
alpha004__lag_47,0.0
alpha007__lag_09,0.0
alpha002__lag_47,0.0
alpha004__lag_09,0.0
alpha043__lag_46,0.0
alpha002__lag_09,0.0
alpha040__lag_46,0.0
alpha038__lag_46,0.0
alpha033__lag_46,0.0
alpha022__lag_46,0.0
alpha101__lag_08,0.0
alpha005__lag_48,0.0
alpha004__lag_48,0.0
alpha013__lag_10,0.0
alpha002__lag_48,0.0
alpha101__lag_47,0.0
alpha043__lag_47,0.0
alpha012__lag_10,0.0
alpha010__lag_10,0.0
alpha038__lag_47,0.0
alpha033__lag_47,0.0
alpha006__lag_10,0.0
alpha005__lag_10,0.0
alpha014__lag_47,0.0
alpha013__lag_47,0.0
alpha012__lag_47,0.0
alpha004__lag_10,0.0
alpha101__lag_48,0.0
alpha043__lag_48,0.0
alpha041__lag_48,0.0
alpha040__lag_48,0.0
alpha003__lag_10,0.0
alpha033__lag_48,0.0
alpha022__lag_48,0.0
alpha018__lag_48,0.0
alpha014__lag_48,0.0
alpha013__lag_48,0.0
alpha012__lag_48,0.0
alpha011__lag_48,0.0
alpha010__lag_48,0.0
alpha101__lag_09,0.0
alpha041__lag_09,0.0
alpha041__lag_49,0.0
alpha040__lag_49,0.0
alpha038__lag_49,0.0
alpha033__lag_49,0.0
alpha022__lag_49,0.0
alpha018__lag_49,0.0
alpha014__lag_49,0.0
alpha013__lag_49,0.0
alpha012__lag_49,0.0
alpha011__lag_49,0.0
alpha010__lag_49,0.0
alpha009__lag_49,0.0
alpha007__lag_11,0.0
alpha005__lag_49,0.0
alpha004__lag_49,0.0
alpha003__lag_49,0.0
alpha033__lag_50,0.0
alpha022__lag_50,0.0
alpha003__lag_11,0.0
alpha002__lag_11,0.0
alpha013__lag_50,0.0
alpha012__lag_50,0.0
alpha011__lag_50,0.0
alpha010__lag_50,0.0
alpha101__lag_10,0.0
alpha043__lag_10,0.0
alpha005__lag_50,0.0
alpha004__lag_50,0.0
alpha040__lag_10,0.0
alpha002__lag_50,0.0
alpha101__lag_49,0.0
alpha038__lag_10,0.0
alpha018__lag_51,0.0
alpha014__lag_51,0.0
alpha033__lag_10,0.0
alpha022__lag_10,0.0
alpha010__lag_51,0.0
alpha009__lag_51,0.0
alpha006__lag_51,0.0
alpha005__lag_51,0.0
alpha004__lag_51,0.0
alpha003__lag_51,0.0
alpha018__lag_10,0.0
alpha101__lag_50,0.0
alpha006__lag_12,0.0
alpha041__lag_50,0.0
alpha040__lag_50,0.0
alpha038__lag_50,0.0
alpha011__lag_52,0.0
alpha010__lag_52,0.0
alpha004__lag_12,0.0
alpha101__lag_11,0.0
alpha006__lag_52,0.0
alpha043__lag_11,0.0
alpha041__lag_11,0.0
alpha003__lag_52,0.0
alpha040__lag_11,0.0
alpha101__lag_51,0.0
alpha043__lag_51,0.0
alpha041__lag_51,0.0
alpha033__lag_11,0.0
alpha038__lag_51,0.0
alpha033__lag_51,0.0
alpha022__lag_51,0.0
alpha006__lag_53,0.0
alpha014__lag_11,0.0
alpha013__lag_11,0.0
alpha003__lag_53,0.0
alpha002__lag_53,0.0
alpha101__lag_52,0.0
alpha043__lag_52,0.0
alpha043__lag_12,0.0
alpha040__lag_52,0.0
alpha038__lag_52,0.0
alpha040__lag_12,0.0
alpha022__lag_52,0.0
alpha033__lag_12,0.0
alpha022__lag_12,0.0
alpha018__lag_12,0.0
alpha012__lag_52,0.0
alpha003__lag_54,0.0
alpha101__lag_53,0.0
alpha043__lag_53,0.0
alpha041__lag_53,0.0
alpha040__lag_53,0.0
alpha014__lag_12,0.0
alpha033__lag_53,0.0
alpha022__lag_53,0.0
alpha012__lag_12,0.0
alpha014__lag_53,0.0
alpha013__lag_53,0.0
alpha010__lag_12,0.0
alpha011__lag_53,0.0
alpha010__lag_53,0.0
alpha009__lag_53,0.0
alpha007__lag_53,0.0
alpha041__lag_54,0.0
alpha040__lag_54,0.0
alpha043__lag_13,0.0
alpha033__lag_54,0.0
alpha022__lag_54,0.0
alpha018__lag_54,0.0
alpha041__lag_13,0.0
alpha013__lag_54,0.0
alpha012__lag_54,0.0
alpha040__lag_13,0.0
alpha010__lag_54,0.0
alpha033__lag_13,0.0
alpha022__lag_13,0.0
alpha006__lag_54,0.0
alpha018__lag_13,0.0
alpha013__lag_13,0.0
alpha038__lag_55,0.0
alpha033__lag_55,0.0
alpha022__lag_55,0.0
alpha018__lag_55,0.0
alpha014__lag_55,0.0
alpha013__lag_55,0.0
alpha012__lag_55,0.0
alpha011__lag_13,0.0
alpha010__lag_55,0.0
alpha010__lag_13,0.0
alpha006__lag_55,0.0
alpha006__lag_13,0.0
alpha033__lag_14,0.0
alpha022__lag_14,0.0
alpha101__lag_54,0.0
alpha043__lag_54,0.0
alpha018__lag_14,0.0
alpha014__lag_56,0.0
alpha013__lag_56,0.0
alpha013__lag_14,0.0
alpha011__lag_14,0.0
alpha010__lag_56,0.0
alpha009__lag_56,0.0
alpha007__lag_56,0.0
alpha005__lag_14,0.0
alpha005__lag_56,0.0
alpha003__lag_56,0.0
alpha002__lag_56,0.0
alpha101__lag_55,0.0
alpha043__lag_55,0.0
alpha041__lag_55,0.0
alpha040__lag_55,0.0
alpha004__lag_14,0.0
alpha010__lag_57,0.0
alpha009__lag_57,0.0
alpha002__lag_14,0.0
alpha006__lag_57,0.0
alpha005__lag_57,0.0
alpha004__lag_57,0.0
alpha013__lag_15,0.0
alpha002__lag_57,0.0
alpha101__lag_56,0.0
alpha043__lag_56,0.0
alpha041__lag_56,0.0
alpha040__lag_56,0.0
alpha038__lag_56,0.0
alpha033__lag_56,0.0
alpha022__lag_56,0.0
alpha011__lag_15,0.0
alpha010__lag_15,0.0
alpha009__lag_01,0.0
alpha007__lag_15,0.0
alpha006__lag_01,0.0
alpha005__lag_01,0.0
alpha006__lag_15,0.0
alpha003__lag_01,0.0
alpha002__lag_01,0.0
alpha101__lag_00,0.0
alpha005__lag_15,0.0
alpha041__lag_00,0.0
alpha003__lag_15,0.0
alpha002__lag_15,0.0
alpha013__lag_57,0.0
alpha012__lag_57,0.0
alpha022__lag_00,0.0
alpha043__lag_14,0.0
alpha003__lag_59,0.0
alpha002__lag_59,0.0
alpha101__lag_58,0.0
alpha043__lag_58,0.0
alpha010__lag_16,0.0
alpha009__lag_16,0.0
alpha038__lag_58,0.0
alpha033__lag_58,0.0
alpha007__lag_16,0.0
alpha018__lag_58,0.0
alpha003__lag_16,0.0
alpha013__lag_58,0.0
alpha012__lag_58,0.0
alpha101__lag_59,0.0
alpha043__lag_15,0.0
alpha041__lag_15,0.0
alpha041__lag_59,0.0
alpha040__lag_59,0.0
alpha038__lag_15,0.0
alpha033__lag_59,0.0
alpha022__lag_59,0.0
alpha018__lag_59,0.0
alpha014__lag_59,0.0
alpha013__lag_59,0.0
alpha011__lag_59,0.0
alpha010__lag_59,0.0
alpha009__lag_59,0.0
alpha007__lag_59,0.0
alpha006__lag_59,0.0
alpha010__lag_58,0.0
